=== Visibility Analysis Summary ===
Total patches: 1474
Geometric visible: 92 (6.2%)
Light illuminated: 52 (56.5% of geometric)
Reflection conditions met: 92 (100.0% of geometric)
Light unoccluded: 52 (56.5% of geometric)
Final visible: 52 (3.5% of total)
Visible area: 239.64 (3.1% of total area)

=== Detailed Visibility Information ===
Patch Index  | Incidence Angle  |  Viewing Angle  
-------------+------------------+-----------------
    430      |      54.22       |      42.10      
    438      |      64.08       |      35.12      
    442      |      45.27       |      48.22      
    444      |      54.71       |      41.86      
    445      |      53.91       |      42.29      
    449      |      56.74       |      37.26      
    450      |      58.06       |      33.51      
    453      |      54.28       |      40.78      
    454      |      78.99       |      22.64      
    456      |      63.94       |      32.59      
    458      |      54.94       |      39.49      
    462      |      55.08       |      39.39      
    465      |      54.51       |      39.86      
    466      |      52.53       |      41.07      
    467      |      63.72       |      31.40      
    468      |      75.78       |      25.51      
    476      |      44.82       |      47.37      
    478      |      77.41       |      16.08      
    479      |      55.32       |      37.54      
    480      |      59.34       |      32.07      
    481      |      76.69       |      18.31      
    482      |      89.44       |       7.09      
    486      |      74.44       |      30.13      
    489      |      62.55       |      28.63      
    492      |      64.42       |      26.69      
    494      |      52.06       |      38.93      
    495      |      51.99       |      38.56      
    497      |      60.16       |      32.35      
    500      |      84.32       |       6.28      
    504      |      84.05       |       9.10      
    507      |      70.91       |      28.03      
    508      |      56.99       |      35.86      
    509      |      58.13       |      32.78      
    1012     |      57.11       |      33.67      
    1013     |      82.32       |       9.62      
    1014     |      62.41       |      29.10      
    1018     |      66.29       |      38.95      
    1019     |      53.07       |      39.72      
    1020     |      80.53       |      24.85      
    1023     |      56.55       |      38.14      
    1024     |      75.56       |      27.42      
    1027     |      50.97       |      41.75      
    1028     |      77.90       |      23.85      
    1031     |      76.13       |      28.41      
    1034     |      70.72       |      22.15      
    1035     |      58.09       |      45.72      
    1037     |      78.09       |      31.19      
    1039     |      56.47       |      47.74      
    1040     |      60.49       |      40.38      
    1041     |      75.02       |      28.49      
    1042     |      65.89       |      35.26      
    1053     |      62.10       |      49.12      
