=== Visibility Analysis Summary ===
Total patches: 49152
Geometric visible: 2815 (5.7%)
Light illuminated: 2815 (100.0% of geometric)
Reflection conditions met: 2815 (100.0% of geometric)
Light unoccluded: 2815 (100.0% of geometric)
Final visible: 2815 (5.7% of total)
Visible area: 441.65 (5.6% of total area)

=== Detailed Visibility Information ===
Patch Index  | Incidence Angle  |  Viewing Angle  
-------------+------------------+-----------------
     0       |      22.70       |      22.83      
     1       |      18.08       |      18.24      
     2       |      18.20       |      18.35      
     3       |       9.74       |       9.87      
     4       |       9.26       |       9.45      
     5       |      13.74       |      14.01      
     6       |      14.28       |      14.57      
     7       |      11.31       |      11.59      
     8       |      17.66       |      18.06      
     9       |      16.70       |      17.07      
     10      |      16.33       |      16.73      
     11      |      17.04       |      17.51      
     12      |      16.84       |      17.35      
     13      |       6.50       |       7.01      
     14      |      16.50       |      15.90      
     15      |      17.54       |      16.92      
     16      |      17.85       |      18.48      
     17      |      18.33       |      18.97      
     18      |      40.99       |      41.65      
     19      |      27.68       |      28.38      
     20      |      30.52       |      31.23      
     21      |      34.76       |      35.50      
     22      |      30.92       |      31.70      
     23      |      27.87       |      28.69      
     24      |      26.52       |      27.39      
     25      |      30.27       |      31.22      
     26      |      29.39       |      30.35      
     27      |      30.28       |      31.26      
     28      |      35.46       |      36.46      
     29      |      26.89       |      27.95      
     30      |      22.80       |      23.88      
     57      |       2.00       |       2.22      
     58      |       6.10       |       6.42      
     59      |      17.02       |      17.26      
     60      |       9.46       |      10.00      
     61      |      31.90       |      32.79      
     62      |      29.93       |      30.84      
     63      |      25.41       |      26.30      
     64      |      33.84       |      34.81      
     65      |      31.81       |      32.77      
     66      |      22.58       |      23.57      
     67      |      26.98       |      28.03      
     68      |      23.45       |      24.53      
     69      |      25.58       |      26.70      
     97      |       5.08       |       5.09      
     98      |       5.33       |       5.09      
     99      |      21.32       |      21.63      
    100      |      15.72       |      16.13      
    101      |      17.39       |      18.00      
    102      |      25.04       |      24.94      
    103      |      30.50       |      30.99      
    104      |      37.83       |      38.38      
    105      |      44.51       |      45.18      
    106      |      26.02       |      26.67      
    107      |      17.91       |      18.60      
    108      |      24.28       |      25.01      
    109      |      32.51       |      33.25      
    110      |      33.29       |      34.14      
    111      |      31.76       |      32.63      
    112      |      22.94       |      23.88      
    113      |      40.17       |      40.92      
    114      |      20.74       |      21.78      
    146      |       7.79       |       7.78      
    147      |       3.48       |       3.25      
    148      |       5.25       |       5.00      
    149      |      17.36       |      17.56      
    150      |      15.99       |      16.22      
    151      |      12.11       |      12.31      
    152      |       8.03       |       8.48      
    153      |      10.14       |      10.57      
    154      |      10.91       |      11.37      
    155      |       9.41       |       9.94      
    156      |      16.84       |      17.43      
    157      |      24.38       |      25.03      
    158      |      25.78       |      26.43      
    159      |      17.43       |      18.12      
    160      |      17.08       |      17.80      
    161      |      33.40       |      34.23      
    162      |      25.31       |      26.15      
    163      |      22.19       |      23.12      
    164      |      30.83       |      31.85      
    165      |      24.49       |      25.45      
    166      |      28.48       |      29.41      
    167      |      21.53       |      21.72      
    168      |      23.72       |      23.96      
    196      |      20.28       |      20.29      
    197      |      14.57       |      14.54      
    198      |       4.42       |       4.16      
    199      |      14.54       |      14.78      
    200      |       4.72       |       5.04      
    201      |      20.93       |      21.27      
    202      |       8.00       |       8.39      
    203      |      15.72       |      16.22      
    204      |      23.71       |      24.29      
    205      |      24.41       |      25.02      
    206      |      16.81       |      17.43      
    207      |      20.25       |      20.88      
    208      |      27.55       |      28.31      
    209      |      33.44       |      34.21      
    210      |      35.52       |      36.31      
    211      |      33.70       |      34.53      
    212      |      31.10       |      32.00      
    213      |      16.02       |      16.96      
    214      |      22.70       |      23.65      
    215      |      27.01       |      28.01      
    216      |      31.03       |      32.03      
    217      |      15.94       |      16.70      
    218      |      26.39       |      27.18      
    219      |      24.93       |      25.64      
    220      |      21.30       |      21.91      
    221      |       8.36       |       9.19      
    222      |      23.10       |      24.28      
    223      |      38.47       |      39.60      
    224      |      39.64       |      40.74      
    225      |      27.75       |      28.97      
    226      |      31.38       |      32.66      
    251      |      13.88       |      14.17      
    252      |      13.49       |      13.79      
    253      |       4.45       |       4.72      
    254      |       6.63       |       6.89      
    255      |       5.26       |       5.50      
    256      |       4.30       |       4.62      
    257      |      23.26       |      23.54      
    258      |      12.93       |      13.45      
    259      |      11.71       |      12.27      
    260      |       9.33       |       9.89      
    261      |      28.79       |      29.54      
    262      |      22.58       |      23.38      
    263      |      26.82       |      27.63      
    264      |      26.05       |      26.89      
    265      |      32.74       |      33.53      
    266      |      18.10       |      18.86      
    267      |      31.00       |      31.67      
    268      |      18.88       |      19.57      
    269      |      30.99       |      32.08      
    270      |      20.92       |      21.98      
    271      |      22.61       |      23.71      
    272      |      46.33       |      47.55      
    273      |      31.36       |      32.61      
    302      |      17.87       |      17.69      
    303      |      12.55       |      12.65      
    304      |      20.15       |      20.35      
    305      |      19.57       |      19.80      
    306      |      14.11       |      14.29      
    307      |      15.17       |      15.73      
    308      |       9.34       |       9.92      
    309      |      25.66       |      26.33      
    310      |      32.67       |      33.11      
    311      |      33.69       |      34.28      
    312      |      32.07       |      32.75      
    313      |      29.52       |      30.23      
    314      |      18.79       |      19.59      
    315      |      22.81       |      23.63      
    316      |      42.28       |      43.37      
    317      |      31.44       |      32.56      
    318      |      20.54       |      21.70      
    319      |      35.04       |      36.21      
    320      |      45.20       |      46.41      
    348      |       7.90       |       7.95      
    349      |      12.11       |      11.98      
    350      |       8.61       |       8.42      
    351      |      10.54       |      10.26      
    352      |       8.76       |       8.79      
    353      |      14.15       |      14.31      
    354      |       6.21       |       6.51      
    355      |       6.90       |       7.24      
    356      |       6.89       |       6.88      
    357      |       8.75       |       8.97      
    358      |      21.14       |      21.47      
    359      |      16.41       |      16.89      
    360      |      23.50       |      24.00      
    361      |      18.39       |      18.96      
    362      |       9.76       |      10.31      
    363      |       9.77       |      10.33      
    364      |      14.23       |      14.88      
    365      |      17.78       |      18.43      
    366      |      23.48       |      24.15      
    367      |      20.26       |      20.78      
    368      |      20.28       |      20.81      
    369      |      26.28       |      26.98      
    370      |      28.11       |      28.82      
    371      |      34.69       |      35.32      
    372      |      29.15       |      30.08      
    373      |      16.76       |      17.68      
    374      |      24.49       |      25.64      
    375      |      29.40       |      30.61      
    376      |      41.05       |      42.27      
    377      |      36.71       |      37.95      
    378      |      27.42       |      28.69      
    379      |      19.13       |      20.33      
    380      |      16.64       |      17.85      
    409      |       7.06       |       7.12      
    410      |       5.68       |       5.88      
    411      |       6.87       |       7.10      
    412      |       7.70       |       7.31      
    413      |       7.68       |       7.44      
    414      |       7.88       |       7.80      
    415      |       7.63       |       7.58      
    416      |      24.94       |      25.48      
    417      |      29.24       |      29.79      
    418      |      20.23       |      20.81      
    419      |       7.30       |       7.84      
