=== Visibility Analysis Summary ===
Total patches: 49152
Geometric visible: 2876 (5.9%)
Light illuminated: 1404 (48.8% of geometric)
Reflection conditions met: 2876 (100.0% of geometric)
Light unoccluded: 1404 (48.8% of geometric)
Final visible: 1404 (2.9% of total)
Visible area: 203.85 (2.6% of total area)

=== Detailed Visibility Information ===
Patch Index  | Incidence Angle  |  Viewing Angle  
-------------+------------------+-----------------
    4883     |      88.85       |      29.25      
    4884     |      86.92       |       4.01      
    5318     |      85.27       |      11.50      
    5319     |      83.49       |      23.66      
    5320     |      85.23       |      22.07      
    5325     |      89.17       |       6.49      
    5385     |      87.42       |      17.75      
    5455     |      83.43       |      15.04      
    5457     |      88.28       |       9.20      
    5458     |      87.09       |       9.44      
    5459     |      84.19       |      18.23      
    5460     |      89.50       |      11.07      
    5517     |      80.17       |      11.80      
    5518     |      76.62       |      16.11      
    5519     |      85.13       |      24.65      
    5520     |      84.34       |      24.61      
    5522     |      89.12       |      15.70      
    5586     |      81.71       |      10.87      
    5588     |      85.92       |      25.76      
    5594     |      87.43       |      12.21      
    5657     |      84.90       |      12.59      
    5658     |      83.53       |      18.39      
    5659     |      89.12       |      15.83      
    5660     |      89.78       |      15.23      
    5661     |      85.65       |      31.38      
    5669     |      84.09       |       7.23      
    5670     |      85.03       |       4.95      
    5730     |      77.19       |      28.23      
    5737     |      77.91       |      11.82      
    5738     |      77.39       |      12.35      
    5739     |      87.31       |       4.35      
    5864     |      80.30       |      14.56      
    5865     |      68.95       |      29.94      
    5866     |      70.55       |      33.80      
    5874     |      88.43       |       6.56      
    5875     |      85.54       |       9.69      
    5935     |      84.98       |      12.91      
    5936     |      66.55       |      32.74      
    5937     |      85.13       |      15.70      
    5938     |      89.52       |      33.48      
    6004     |      87.25       |      30.56      
    6059     |      89.97       |      33.75      
    6062     |      88.99       |      19.35      
    6063     |      89.96       |      17.45      
    6070     |      88.76       |       8.93      
    6142     |      85.18       |      19.65      
    6143     |      85.09       |      20.98      
    6144     |      84.91       |      17.98      
    6145     |      87.31       |       3.79      
    6146     |      85.73       |      10.08      
    6197     |      84.69       |       5.59      
    6202     |      82.64       |      19.17      
    6203     |      82.48       |      19.58      
    6204     |      85.58       |       8.34      
    6205     |      85.11       |       8.83      
    6206     |      77.73       |      14.55      
