=== Visibility Analysis Summary ===
Total patches: 12288
Geometric visible: 1401 (11.4%)
Light illuminated: 1070 (76.4% of geometric)
Reflection conditions met: 1401 (100.0% of geometric)
Light unoccluded: 1070 (76.4% of geometric)
Final visible: 1070 (8.7% of total)
Visible area: 373.90 (10.3% of total area)

=== Detailed Visibility Information ===
Patch Index  | Incidence Angle  |  Viewing Angle  
-------------+------------------+-----------------
     17      |      86.00       |      41.49      
     18      |      81.74       |      39.32      
     19      |      89.68       |      42.14      
     20      |      72.10       |      49.03      
     21      |      84.72       |      32.38      
     33      |      75.98       |      39.48      
     34      |      87.17       |      36.80      
     35      |      86.20       |      34.88      
     36      |      87.98       |      35.44      
     37      |      87.85       |      34.44      
     39      |      84.69       |      43.28      
     40      |      71.36       |      42.96      
     41      |      76.08       |      36.98      
     60      |      78.05       |      39.64      
     61      |      72.99       |      42.40      
     62      |      82.79       |      43.30      
     63      |      82.84       |      37.06      
     76      |      87.33       |      27.56      
     78      |      69.61       |      26.01      
     79      |      77.50       |      32.65      
     80      |      77.04       |      32.58      
     81      |      88.66       |      42.29      
     82      |      81.03       |      39.55      
     98      |      88.82       |      38.19      
     99      |      85.48       |      30.01      
    101      |      84.55       |      38.44      
    102      |      69.36       |      39.48      
    115      |      84.61       |      37.52      
    116      |      83.44       |      35.13      
    117      |      77.39       |      43.15      
    118      |      68.86       |      35.75      
    119      |      89.57       |      37.08      
    120      |      85.60       |      28.89      
    136      |      75.74       |      27.33      
    137      |      76.54       |      33.40      
    139      |      84.76       |      29.88      
    140      |      69.84       |      26.16      
    141      |      74.42       |      33.78      
    150      |      87.78       |      46.66      
    156      |      86.95       |      29.76      
    157      |      87.16       |      30.74      
    158      |      89.89       |      31.77      
    159      |      82.17       |      25.55      
    161      |      67.90       |      47.82      
    162      |      61.53       |      47.42      
    175      |      84.04       |      28.94      
    176      |      89.44       |      34.46      
    177      |      88.12       |      34.07      
    178      |      86.85       |      31.18      
    179      |      76.23       |      32.02      
    180      |      80.97       |      32.19      
    181      |      77.59       |      30.91      
    182      |      77.35       |      33.53      
    196      |      87.04       |      36.76      
    197      |      78.37       |      30.82      
    198      |      79.98       |      28.88      
    200      |      76.12       |      14.20      
    211      |      88.23       |      44.00      
    212      |      78.19       |      35.40      
    213      |      89.08       |      33.07      
    214      |      85.45       |      30.81      
    215      |      78.91       |      28.71      
    216      |      78.23       |      31.56      
    218      |      64.91       |      43.94      
    219      |      56.59       |      35.45      
    234      |      84.21       |      32.59      
    235      |      80.48       |      30.65      
    236      |      60.89       |      46.25      
    237      |      66.27       |      27.94      
    249      |      89.58       |      32.94      
    252      |      84.65       |      33.27      
    253      |      74.71       |      30.85      
    254      |      73.40       |      29.88      
    255      |      73.40       |      29.95      
    263      |      88.28       |      34.03      
    273      |      87.85       |      37.95      
    274      |      83.68       |      33.69      
    279      |      81.50       |      48.46      
    280      |      78.99       |      49.59      
    281      |      78.20       |      48.83      
    287      |      89.20       |      32.21      
    288      |      87.26       |      37.90      
    289      |      84.26       |      36.04      
    290      |      81.20       |      32.49      
    306      |      87.53       |      39.50      
    309      |      80.49       |      31.75      
    310      |      74.08       |      31.76      
    322      |      87.66       |      47.43      
    327      |      88.47       |      39.08      
    328      |      88.26       |      48.80      
    329      |      74.66       |      19.20      
    330      |      83.30       |      37.35      
    331      |      81.67       |      36.40      
    332      |      81.01       |      35.07      
    333      |      81.03       |      35.06      
    334      |      75.97       |      33.39      
    342      |      82.93       |      38.00      
    343      |      88.52       |      40.28      
    344      |      77.21       |      40.73      
    345      |      77.30       |      35.47      
    346      |      74.08       |      32.32      
    353      |      76.15       |      34.26      
    371      |      86.04       |      41.31      
    372      |      89.73       |      45.23      
    373      |      81.05       |      40.71      
    374      |      79.39       |      36.12      
    375      |      70.85       |      34.91      
    386      |      81.41       |      37.60      
    387      |      67.92       |      34.02      
    401      |      85.96       |      42.09      
    402      |      82.50       |      38.39      
    403      |      78.57       |      38.85      
    404      |      76.65       |      39.15      
    405      |      69.29       |      34.95      
    413      |      86.91       |      41.82      
    414      |      77.36       |      37.27      
    415      |      76.32       |      37.84      
    416      |      72.48       |      38.26      
    417      |      71.26       |      36.13      
    428      |      84.56       |      41.23      
    429      |      71.15       |      36.68      
    440      |      81.76       |      42.20      
    441      |      78.45       |      39.53      
    442      |      67.86       |      37.32      
    443      |      63.82       |      36.82      
    454      |      72.61       |      39.46      
    455      |      67.88       |      37.54      
    464      |      86.54       |      45.64      
    465      |      75.15       |      43.17      
    466      |      74.26       |      43.28      
    467      |      72.10       |      40.37      
    479      |      88.03       |      50.32      
    480      |      85.77       |      49.48      
    481      |      83.88       |      46.55      
    482      |      81.22       |      46.02      
    483      |      79.91       |      44.74      
    484      |      76.69       |      44.62      
    485      |      72.62       |      42.74      
    486      |      66.32       |      39.32      
    487      |      61.81       |      38.69      
    489      |      89.02       |      54.32      
    500      |      80.30       |      31.33      
    501      |      67.80       |      42.58      
    502      |      66.17       |      40.09      
    512      |      88.85       |      54.23      
    513      |      73.45       |      47.02      
    514      |      75.45       |      58.77      
    515      |      59.77       |      42.44      
    516      |      69.86       |      45.69      
    517      |      69.86       |      45.64      
    518      |      66.47       |      45.68      
    519      |      59.91       |      44.35      
    531      |      82.21       |      58.00      
    532      |      76.38       |      52.42      
    533      |      66.70       |      45.47      
    534      |      61.19       |      43.64      
    535      |      60.75       |      42.19      
    547      |      79.09       |      55.03      
    548      |      71.68       |      50.91      
    549      |      66.77       |      45.44      
    559      |      76.06       |      54.76      
    560      |      77.31       |      55.97      
    561      |      70.98       |      49.52      
    562      |      73.09       |      51.44      
    563      |      64.18       |      45.78      
    564      |      61.79       |      44.43      
    565      |      61.37       |      43.33      
    579      |      69.54       |      51.73      
    580      |      67.24       |      48.50      
    581      |      66.68       |      47.93      
    591      |      70.95       |      50.00      
    592      |      69.32       |      49.77      
    593      |      67.22       |      50.30      
    594      |      68.79       |      26.57      
    595      |      67.98       |      44.89      
    596      |      64.38       |      45.62      
    597      |      68.45       |      42.03      
    605      |      72.68       |      55.83      
    606      |      66.69       |      50.49      
    607      |      76.92       |      58.90      
    608      |      62.35       |      51.66      
    609      |      61.17       |      45.17      
    610      |      63.40       |      50.48      
    623      |      67.33       |      50.06      
    624      |      74.87       |      52.72      
    626      |      66.20       |      45.44      
    627      |      60.40       |      49.78      
    642      |      71.65       |      58.15      
    643      |      67.26       |      55.32      
    644      |      70.75       |      53.51      
    645      |      65.48       |      49.01      
    646      |      65.02       |      47.51      
