=== Visibility Analysis Summary ===
Total patches: 196608
Geometric visible: 11221 (5.7%)
Light illuminated: 8633 (76.9% of geometric)
Reflection conditions met: 11221 (100.0% of geometric)
Light unoccluded: 8633 (76.9% of geometric)
Final visible: 8633 (4.4% of total)
Visible area: 345.78 (4.4% of total area)

=== Detailed Visibility Information ===
Patch Index  | Incidence Angle  |  Viewing Angle  
-------------+------------------+-----------------
   59683     |      44.50       |      46.12      
   59685     |      45.47       |      48.95      
   59938     |      47.24       |      43.96      
   59939     |      43.89       |      51.68      
   59940     |      42.99       |      50.87      
   59945     |      31.95       |      56.91      
   59947     |      38.55       |      50.37      
   60112     |      73.24       |      45.57      
   60113     |      73.30       |      42.36      
   60114     |      73.95       |      42.92      
   60194     |      39.73       |      54.96      
   60195     |      38.44       |      59.02      
   60201     |      27.07       |      57.00      
   60202     |      28.89       |      58.63      
   60203     |      43.25       |      38.40      
   60204     |      48.47       |      45.62      
   60205     |      55.01       |      33.30      
   60206     |      55.53       |      34.16      
   60207     |      49.04       |      47.19      
   60209     |      43.61       |      58.20      
   60364     |      71.60       |      57.32      
   60367     |      71.68       |      55.25      
   60368     |      72.92       |      56.22      
   60369     |      72.87       |      45.85      
   60370     |      70.08       |      43.57      
   60450     |      52.64       |      48.27      
   60451     |      49.54       |      59.36      
   60456     |      28.25       |      55.94      
   60457     |      39.28       |      42.12      
   60458     |      39.29       |      42.18      
   60459     |      51.29       |      30.51      
   60460     |      54.14       |      33.95      
   60461     |      55.15       |      32.27      
   60462     |      59.56       |      39.70      
   60463     |      54.51       |      53.11      
   60464     |      52.83       |      51.12      
   60465     |      50.70       |      58.91      
   60466     |      46.44       |      54.56      
   60467     |      45.18       |      59.07      
   60614     |      65.70       |      39.25      
   60616     |      75.67       |      35.17      
   60617     |      75.03       |      42.96      
   60618     |      74.95       |      42.89      
   60619     |      74.72       |      54.13      
   60620     |      71.32       |      51.38      
   60621     |      71.46       |      57.44      
   60623     |      77.88       |      58.18      
   60624     |      74.70       |      55.57      
   60625     |      74.69       |      54.81      
   60626     |      63.82       |      46.57      
   60627     |      63.70       |      48.98      
   60706     |      58.31       |      53.33      
   60707     |      57.17       |      57.99      
   60709     |      67.13       |      52.30      
   60710     |      62.33       |      45.53      
   60711     |      62.15       |      46.00      
   60712     |      51.86       |      30.11      
   60713     |      50.68       |      31.55      
   60714     |      50.17       |      31.67      
   60715     |      42.74       |      38.49      
   60716     |      44.41       |      41.04      
   60717     |      37.62       |      53.20      
   60718     |      45.45       |      59.93      
   60719     |      45.58       |      59.34      
   60721     |      48.78       |      56.30      
   60722     |      48.75       |      56.26      
   60723     |      49.21       |      54.55      
   60724     |      48.65       |      53.96      
   60727     |      45.01       |      59.45      
   60729     |      43.74       |      58.46      
   60866     |      69.18       |      54.98      
   60867     |      69.13       |      58.34      
   60868     |      68.09       |      57.53      
   60869     |      68.07       |      56.45      
   60870     |      64.77       |      53.88      
   60871     |      65.15       |      39.72      
   60872     |      69.63       |      43.22      
   60873     |      69.92       |      39.39      
   60874     |      70.18       |      39.62      
   60875     |      69.84       |      46.79      
   60876     |      74.25       |      50.39      
   60877     |      74.26       |      49.07      
   60878     |      83.17       |      57.11      
   60879     |      83.21       |      58.75      
   60880     |      72.59       |      49.64      
   60881     |      72.65       |      57.21      
   60882     |      62.37       |      49.68      
   60883     |      62.47       |      47.76      
   60961     |      46.76       |      54.13      
   60963     |      55.71       |      51.72      
   60964     |      60.00       |      56.43      
   60965     |      64.69       |      41.78      
   60966     |      66.07       |      43.93      
   60967     |      69.66       |      35.06      
   60968     |      62.35       |      21.15      
   60969     |      51.55       |      38.69      
   60970     |      47.71       |      33.53      
   60971     |      30.05       |      56.85      
   60972     |      31.74       |      58.22      
   60973     |      31.83       |      58.02      
   60975     |      40.83       |      59.33      
   60977     |      44.71       |      54.55      
   60978     |      46.69       |      56.49      
   60979     |      46.26       |      58.04      
   60981     |      50.29       |      57.49      
   60982     |      49.15       |      56.26      
   60983     |      51.53       |      48.54      
   60984     |      53.44       |      51.03      
   60985     |      51.26       |      59.86      
   61116     |      63.32       |      42.98      
   61118     |      64.05       |      52.79      
   61123     |      64.18       |      59.21      
   61125     |      70.60       |      55.24      
   61126     |      73.21       |      57.52      
   61127     |      73.21       |      46.44      
   61128     |      68.66       |      42.16      
   61129     |      68.50       |      44.12      
   61130     |      62.14       |      39.12      
   61131     |      61.42       |      47.12      
   61132     |      69.28       |      53.30      
   61133     |      69.30       |      54.40      
   61134     |      75.16       |      59.04      
   61136     |      62.04       |      53.19      
   61137     |      62.10       |      58.58      
   61138     |      60.32       |      57.42      
   61139     |      60.48       |      51.37      
   61218     |      44.46       |      59.64      
   61219     |      48.72       |      46.60      
   61220     |      51.64       |      49.72      
   61221     |      56.29       |      38.42      
   61222     |      58.23       |      41.14      
   61223     |      57.93       |      41.86      
   61224     |      54.27       |      36.65      
   61225     |      48.59       |      49.78      
   61226     |      44.17       |      44.77      
   61228     |      32.02       |      57.85      
   61229     |      32.07       |      57.72      
   61231     |      39.76       |      54.69      
   61232     |      42.02       |      56.65      
   61233     |      42.79       |      54.41      
   61234     |      46.37       |      57.96      
   61235     |      47.13       |      55.17      
   61236     |      49.76       |      57.87      
   61237     |      53.58       |      45.43      
   61238     |      54.37       |      46.54      
   61239     |      55.09       |      44.63      
   61240     |      61.09       |      53.15      
   61241     |      59.54       |      59.78      
   61243     |      61.39       |      57.08      
   61244     |      55.56       |      49.12      
   61245     |      58.03       |      41.77      
   61246     |      55.51       |      37.15      
   61247     |      54.28       |      39.85      
   61248     |      53.50       |      38.14      
   61249     |      51.23       |      42.99      
   61250     |      50.63       |      41.95      
   61251     |      47.83       |      48.84      
   61253     |      43.29       |      43.56      
   61362     |      58.58       |      51.63      
   61364     |      55.20       |      48.44      
   61365     |      55.80       |      45.45      
   61366     |      58.25       |      47.56      
   61367     |      58.98       |      43.88      
   61368     |      63.72       |      48.35      
   61369     |      64.10       |      45.76      
   61370     |      58.67       |      40.81      
   61371     |      57.19       |      49.04      
   61372     |      49.21       |      43.65      
   61373     |      46.52       |      56.24      
   61374     |      48.30       |      57.31      
   61383     |      72.82       |      57.85      
   61384     |      63.15       |      49.95      
   61385     |      63.30       |      46.83      
   61386     |      58.23       |      42.87      
   61387     |      58.25       |      42.74      
   61388     |      66.11       |      48.78      
   61389     |      66.16       |      55.99      
   61390     |      69.37       |      58.55      
   61392     |      62.71       |      58.95      
   61393     |      62.81       |      52.49      
   61394     |      62.01       |      51.90      
   61395     |      61.76       |      56.11      
   61473     |      60.38       |      52.85      
   61474     |      52.53       |      43.87      
   61475     |      50.15       |      50.05      
   61476     |      46.03       |      45.77      
   61477     |      45.69       |      46.50      
   61478     |      47.70       |      48.63      
   61479     |      46.08       |      53.03      
   61480     |      45.33       |      52.29      
   61481     |      44.36       |      55.40      
   61482     |      45.20       |      56.19      
   61483     |      47.01       |      50.21      
   61484     |      44.35       |      47.34      
   61486     |      35.35       |      58.57      
   61487     |      36.90       |      54.20      
   61488     |      39.46       |      56.90      
   61489     |      42.49       |      48.98      
   61490     |      47.61       |      54.82      
