=== Visibility Analysis Summary ===
Total patches: 1474
Geometric visible: 95 (6.4%)
Light illuminated: 51 (53.7% of geometric)
Reflection conditions met: 95 (100.0% of geometric)
Light unoccluded: 51 (53.7% of geometric)
Final visible: 51 (3.5% of total)
Visible area: 290.73 (3.7% of total area)

=== Detailed Visibility Information ===
Patch Index  | Incidence Angle  |  Viewing Angle  
-------------+------------------+-----------------
    256      |      67.23       |      35.75      
    257      |      49.75       |      43.46      
    262      |      73.46       |      31.13      
    263      |      89.27       |      25.82      
    266      |      59.18       |      37.65      
    269      |      87.92       |      15.11      
    273      |      48.61       |      44.15      
    276      |      56.69       |      40.55      
    277      |      66.41       |      29.43      
    278      |      57.66       |      38.38      
    281      |      56.63       |      40.57      
    282      |      60.19       |      36.21      
    284      |      61.01       |      35.40      
    288      |      56.44       |      40.60      
    295      |      47.61       |      52.41      
    296      |      72.97       |      54.73      
    670      |      49.47       |      47.55      
    675      |      57.18       |      37.82      
    679      |      41.69       |      54.12      
    683      |      43.98       |      54.35      
    686      |      56.71       |      40.43      
    688      |      62.98       |      34.38      
    689      |      51.85       |      39.78      
    690      |      81.09       |      26.46      
    695      |      48.93       |      46.69      
    697      |      69.95       |      28.79      
    699      |      50.46       |      42.34      
    703      |      52.91       |      43.46      
    706      |      65.09       |      28.45      
    709      |      54.79       |      42.62      
    710      |      66.77       |      25.98      
    715      |      50.32       |      42.23      
    718      |      69.82       |      21.03      
    722      |      49.70       |      41.40      
    723      |      84.06       |       6.15      
    724      |      87.86       |       4.82      
    730      |      58.80       |      31.95      
    731      |      64.12       |      27.15      
    734      |      56.13       |      35.88      
    736      |      59.86       |      31.08      
    740      |      82.05       |      16.37      
    742      |      53.46       |      41.23      
    743      |      58.89       |      31.69      
    745      |      67.13       |      25.68      
    747      |      60.91       |      34.03      
    748      |      52.42       |      43.04      
    752      |      63.99       |      29.24      
    754      |      77.21       |      15.86      
    755      |      88.78       |      12.39      
    760      |      52.70       |      46.87      
    761      |      60.62       |      37.33      
