=== Visibility Analysis Summary ===
Total patches: 49152
Geometric visible: 5419 (11.0%)
Light illuminated: 5251 (96.9% of geometric)
Reflection conditions met: 5417 (100.0% of geometric)
Light unoccluded: 5251 (96.9% of geometric)
Final visible: 5251 (10.7% of total)
Visible area: 368.70 (10.1% of total area)

=== Detailed Visibility Information ===
Patch Index  | Incidence Angle  |  Viewing Angle  
-------------+------------------+-----------------
    4732     |      58.53       |      45.76      
    4844     |      57.01       |      57.99      
    5358     |      48.68       |      53.88      
    5612     |      70.49       |      57.89      
    6014     |      58.52       |      56.61      
    6015     |      64.65       |      57.12      
    6126     |      85.89       |      57.21      
    6128     |      68.59       |      39.56      
    6130     |      64.69       |      52.53      
    6142     |      56.83       |      58.60      
    6143     |      55.81       |      54.76      
    6269     |      44.88       |      44.72      
    6271     |      51.81       |      59.81      
    6394     |      66.35       |      54.00      
    6395     |      75.48       |      55.60      
    6396     |      52.89       |      36.12      
    6524     |      55.20       |      57.02      
    6525     |      59.20       |      57.11      
    6648     |      49.76       |      57.56      
    6649     |      63.06       |      57.93      
    6650     |      56.37       |      52.36      
    6651     |      59.46       |      52.45      
    6652     |      64.19       |      56.51      
    6653     |      55.86       |      56.09      
    6778     |      46.24       |      59.24      
    6779     |      51.45       |      59.03      
    7159     |      29.47       |      52.75      
    7286     |      39.38       |      42.69      
    7287     |      35.30       |      58.23      
    7289     |      49.33       |      55.00      
    7411     |      45.71       |      50.41      
    7413     |      57.30       |      45.67      
    7414     |      50.48       |      40.52      
    7416     |      45.71       |      59.53      
    7422     |      56.51       |      59.90      
    7535     |      58.69       |      51.26      
    7536     |      54.67       |      48.26      
    7537     |      56.87       |      56.74      
    7538     |      46.65       |      49.23      
    7540     |      46.02       |      59.72      
    7549     |      40.89       |      59.12      
    7551     |      47.52       |      48.32      
    7662     |      61.15       |      48.48      
    7663     |      62.90       |      56.35      
    7664     |      59.28       |      53.46      
    7665     |      60.48       |      57.28      
    7666     |      55.57       |      53.71      
    7667     |      54.29       |      48.84      
    7668     |      54.62       |      49.08      
    7671     |      54.73       |      52.06      
    7672     |      54.14       |      51.58      
    7673     |      89.82       |      59.02      
    7674     |      69.84       |      33.04      
    7675     |      70.39       |      42.35      
    7676     |      64.27       |      35.32      
