=== Visibility Analysis Summary ===
Total patches: 49152
Geometric visible: 3035 (6.2%)
Light illuminated: 1913 (63.0% of geometric)
Reflection conditions met: 3035 (100.0% of geometric)
Light unoccluded: 1913 (63.0% of geometric)
Final visible: 1913 (3.9% of total)
Visible area: 302.82 (3.8% of total area)

=== Detailed Visibility Information ===
Patch Index  | Incidence Angle  |  Viewing Angle  
-------------+------------------+-----------------
   12002     |      89.46       |      29.83      
   12003     |      89.42       |      29.86      
   12004     |      88.55       |      27.68      
   12040     |      83.58       |      42.51      
   12078     |      80.73       |      20.39      
   12079     |      83.50       |      32.98      
   12080     |      80.93       |      19.58      
   12081     |      89.89       |      19.26      
   12082     |      86.14       |      38.10      
   12083     |      87.42       |      42.59      
   12127     |      88.24       |      11.98      
   12128     |      86.24       |      19.43      
   12129     |      88.06       |      17.66      
   12139     |      85.66       |      12.00      
   12140     |      78.65       |       4.45      
   12145     |      86.98       |      16.05      
   12146     |      87.82       |      18.07      
   12147     |      87.90       |      15.76      
   12148     |      89.20       |      14.05      
   12149     |      83.39       |      27.52      
   12150     |      79.51       |      20.02      
   12151     |      72.00       |      24.48      
   12152     |      71.83       |      27.19      
   12153     |      77.96       |      33.27      
   12154     |      79.01       |      29.44      
   12155     |      84.80       |      26.02      
   12156     |      84.28       |      28.16      
   12159     |      84.80       |      28.69      
   12160     |      85.77       |      37.60      
   12205     |      83.25       |      14.85      
   12206     |      83.87       |       5.59      
   12207     |      83.55       |       4.92      
   12214     |      84.14       |       7.66      
   12215     |      85.53       |      12.04      
   12216     |      85.39       |      11.55      
   12217     |      86.86       |      10.27      
   12218     |      89.24       |      16.09      
   12219     |      89.87       |      12.71      
   12220     |      86.94       |       7.86      
   12227     |      72.92       |      25.84      
   12261     |      89.23       |      43.78      
   12275     |      83.90       |      16.07      
   12276     |      84.38       |      12.97      
   12277     |      84.21       |      13.05      
   12278     |      85.58       |      13.50      
   12279     |      87.93       |      13.84      
   12280     |      87.24       |       9.40      
   12281     |      87.08       |       9.37      
   12290     |      88.18       |      18.49      
   12291     |      85.50       |      13.86      
   12292     |      83.37       |      20.89      
   12293     |      84.10       |      27.64      
   12294     |      80.31       |      35.41      
   12295     |      79.67       |      21.79      
   12296     |      77.11       |      27.56      
   12329     |      89.36       |      28.37      
   12330     |      87.61       |      52.23      
   12341     |      89.05       |      17.31      
   12345     |      89.71       |      10.89      
   12347     |      79.48       |       3.64      
   12348     |      81.50       |       5.97      
   12349     |      88.82       |      11.58      
   12350     |      86.11       |       8.70      
   12364     |      87.10       |      25.47      
   12365     |      85.25       |      16.61      
   12366     |      85.27       |      27.74      
   12367     |      89.74       |      36.58      
   12368     |      89.76       |      35.89      
   12405     |      88.88       |      25.24      
   12410     |      89.87       |      52.34      
   12411     |      88.29       |      48.42      
   12412     |      88.42       |      46.87      
   12436     |      86.50       |       7.36      
   12437     |      87.37       |      11.84      
   12441     |      85.70       |      32.53      
   12442     |      85.80       |      38.97      
   12449     |      88.20       |      19.64      
   12450     |      88.07       |      31.51      
   12451     |      87.78       |      19.11      
   12452     |      87.21       |      16.93      
   12453     |      88.63       |       9.56      
   12454     |      82.84       |       9.68      
   12487     |      86.46       |      48.51      
   12488     |      87.71       |      47.56      
   12502     |      86.41       |       8.58      
   12503     |      85.14       |       9.21      
   12504     |      84.65       |       9.90      
   12511     |      89.15       |      10.09      
   12514     |      85.79       |       9.60      
   12515     |      86.90       |      18.38      
   12516     |      78.25       |       1.58      
   12517     |      76.61       |      26.23      
   12518     |      77.39       |      38.93      
   12519     |      77.61       |      14.45      
   12521     |      89.65       |      22.85      
   12527     |      83.20       |       9.85      
   12528     |      87.34       |      25.51      
   12529     |      87.44       |      16.89      
   12530     |      86.82       |      15.39      
   12531     |      87.30       |       8.55      
   12532     |      83.42       |       6.06      
   12533     |      81.54       |      21.09      
   12534     |      80.00       |      16.75      
   12560     |      82.55       |      24.25      
   12564     |      84.72       |      47.88      
   12565     |      88.15       |      46.68      
   12566     |      86.39       |      46.59      
   12567     |      88.15       |      43.28      
   12568     |      89.95       |      45.37      
   12576     |      80.55       |       5.84      
   12577     |      80.54       |       5.25      
   12578     |      76.11       |      11.84      
   12579     |      75.77       |      13.44      
