=== Visibility Analysis Summary ===
Total patches: 49152
Geometric visible: 5419 (11.0%)
Light illuminated: 5054 (93.3% of geometric)
Reflection conditions met: 5417 (100.0% of geometric)
Light unoccluded: 5054 (93.3% of geometric)
Final visible: 5054 (10.3% of total)

=== Detailed Visibility Information ===
Patch Index  | Incidence Angle  |  Viewing Angle  
-------------+------------------+-----------------
    4732     |      73.55       |      45.76      
    4844     |      82.92       |      57.99      
    5358     |      84.40       |      53.88      
    5612     |      74.83       |      57.89      
    6014     |      81.16       |      56.61      
    6015     |      77.95       |      57.12      
    6126     |      63.81       |      57.21      
    6127     |      61.18       |      58.61      
    6128     |      63.37       |      39.56      
    6130     |      74.55       |      52.53      
    6142     |      83.60       |      58.60      
    6143     |      81.36       |      54.76      
    6269     |      80.30       |      44.72      
    6271     |      87.22       |      59.81      
    6394     |      74.62       |      54.00      
    6395     |      69.88       |      55.60      
    6396     |      71.22       |      36.12      
    6524     |      83.36       |      57.02      
    6525     |      81.19       |      57.11      
    6648     |      86.64       |      57.56      
    6649     |      79.55       |      57.93      
    6650     |      79.39       |      52.36      
    6651     |      77.68       |      52.45      
    6652     |      77.83       |      56.51      
    6653     |      82.34       |      56.09      
    6778     |      89.64       |      59.24      
    6779     |      86.88       |      59.03      
    7286     |      81.75       |      42.69      
    7289     |      85.04       |      55.00      
    7411     |      83.67       |      50.41      
    7413     |      74.39       |      45.67      
    7414     |      75.06       |      40.52      
    7422     |      84.86       |      59.90      
    7535     |      77.31       |      51.26      
    7536     |      77.57       |      48.26      
    7537     |      82.27       |      56.74      
    7538     |      82.43       |      49.23      
    7551     |      81.42       |      48.32      
    7662     |      73.95       |      48.48      
    7663     |      78.47       |      56.35      
    7664     |      78.52       |      53.46      
    7665     |      80.60       |      57.28      
    7666     |      80.82       |      53.71      
    7667     |      78.19       |      48.84      
    7668     |      78.16       |      49.08      
    7671     |      80.14       |      52.06      
    7672     |      80.14       |      51.58      
    7673     |      62.45       |      59.02      
    7674     |      58.76       |      33.04      
    7675     |      63.97       |      42.35      
    7676     |      63.89       |      35.32      
    7677     |      67.94       |      42.34      
    7678     |      67.98       |      36.66      
    7679     |      81.14       |      58.57      
    7788     |      51.73       |      26.80      
    7789     |      60.07       |      44.85      
    7790     |      60.16       |      42.93      
    7791     |      57.87       |      38.48      
    7792     |      57.95       |      48.61      
    7793     |      66.22       |      44.90      
    7794     |      66.18       |      48.35      
    7795     |      77.08       |      47.78      
    7796     |      76.48       |      53.83      
    7797     |      70.45       |      42.21      
    7798     |      70.30       |      43.03      
    7799     |      73.22       |      48.76      
    7800     |      73.45       |      46.10      
    7801     |      72.04       |      43.42      
    7802     |      71.87       |      47.99      
