=== Visibility Analysis Summary ===
Total patches: 49152
Geometric visible: 3109 (6.3%)
Light illuminated: 2947 (94.8% of geometric)
Reflection conditions met: 1389 (44.7% of geometric)
Light unoccluded: 1389 (44.7% of geometric)
Final visible: 1389 (2.8% of total)

=== Detailed Visibility Information ===
Patch Index  | Incidence Angle  |  Viewing Angle  
-------------+------------------+-----------------
    7424     |      45.54       |      46.40      
    7435     |      47.63       |      48.66      
    7436     |      47.49       |      48.53      
    7552     |      31.57       |      32.33      
    7553     |      44.40       |      45.01      
    7554     |      45.08       |      45.93      
    7565     |      42.10       |      43.11      
    7566     |      45.62       |      46.54      
    7573     |      43.14       |      43.76      
    7574     |      38.54       |      39.51      
    7575     |      49.37       |      50.36      
    7583     |      47.08       |      48.09      
    7584     |      47.34       |      48.36      
    7585     |      41.80       |      42.74      
    7586     |      39.87       |      40.87      
    7587     |      39.85       |      40.84      
    7588     |      42.57       |      43.47      
    7681     |      48.59       |      49.22      
    7682     |      40.17       |      41.10      
    7683     |      39.91       |      40.85      
    7684     |      44.53       |      45.25      
    7691     |      46.62       |      47.60      
    7692     |      46.47       |      47.46      
    7697     |      48.21       |      49.18      
    7808     |      48.99       |      49.70      
    7811     |      43.38       |      44.29      
    7812     |      47.93       |      48.65      
    7813     |      47.89       |      48.61      
    7814     |      40.84       |      41.79      
    7835     |      48.66       |      49.63      
    7836     |      48.40       |      49.39      
    7943     |      41.02       |      41.95      
    7944     |      46.29       |      47.03      
    7946     |      43.55       |      44.49      
    7948     |      49.06       |      50.01      
    7959     |      47.98       |      48.93      
    7960     |      47.93       |      48.87      
    7961     |      48.49       |      49.42      
    7962     |      49.42       |      50.38      
    8045     |      45.32       |      46.40      
    8046     |      43.97       |      45.08      
    8047     |      43.51       |      44.61      
    8048     |      43.52       |      44.62      
    8067     |      45.02       |      45.91      
    8068     |      44.97       |      45.88      
    8069     |      48.58       |      49.47      
    8070     |      48.36       |      49.27      
    8073     |      41.05       |      41.93      
    8074     |      41.85       |      42.70      
    8078     |      46.27       |      47.20      
    8179     |      48.94       |      50.01      
    8180     |      48.71       |      49.78      
   13689     |      42.81       |      43.77      
   13690     |      39.06       |      40.06      
   13819     |      48.80       |      49.79      
   13820     |      46.34       |      47.33      
   15679     |      49.53       |      50.41      
   15682     |      47.83       |      48.71      
   15773     |      48.06       |      49.10      
   15774     |      48.61       |      49.69      
   15789     |      48.82       |      49.86      
